Padrao,Busca,DensidadeRegiao
632,BFS,0.36849419558425545
633,BFS,0.36849419558425545
636,BFS,0.36849419558425545
639,BFS,0.36849419558425545
647,BFS,0.36849419558425545
653,BFS,0.36849419558425545
658,BFS,0.36849419558425545
659,BFS,0.36849419558425545
660,BFS,0.36849419558425545
661,BFS,0.36849419558425545
664,BFS,0.36849419558425545
674,BFS,0.36849419558425545
678,BFS,0.36849419558425545
684,BFS,0.36849419558425545
694,BFS,0.36849419558425545
700,BFS,0.36849419558425545
711,BFS,0.36849419558425545
712,BFS,0.36849419558425545
720,BFS,0.36849419558425545
746,BFS,0.36849419558425545
756,BFS,0.36849419558425545
759,BFS,0.36849419558425545
761,BFS,0.36849419558425545
762,BFS,0.36849419558425545
790,BFS,0.36849419558425545
802,BFS,0.36849419558425545
814,BFS,0.36849419558425545
839,BFS,0.36849419558425545
845,BFS,0.36849419558425545
848,BFS,0.36849419558425545
865,BFS,0.36849419558425545
873,BFS,0.36849419558425545
882,BFS,0.36849419558425545
892,BFS,0.36849419558425545
896,BFS,0.36849419558425545
916,BFS,0.36849419558425545
941,BFS,0.36849419558425545
7,BFS,0.36849419558425545
18,BFS,0.36849419558425545
24,BFS,0.36849419558425545
33,BFS,0.36849419558425545
47,BFS,0.36849419558425545
70,BFS,0.36849419558425545
92,BFS,0.36849419558425545
94,BFS,0.36849419558425545
98,BFS,0.36849419558425545
105,BFS,0.36849419558425545
108,BFS,0.36849419558425545
140,BFS,0.36849419558425545
164,BFS,0.36849419558425545
174,BFS,0.36849419558425545
190,BFS,0.36849419558425545
209,BFS,0.36849419558425545
213,BFS,0.36849419558425545
217,BFS,0.36849419558425545
230,BFS,0.36849419558425545
248,BFS,0.36849419558425545
251,BFS,0.36849419558425545
252,BFS,0.36849419558425545
263,BFS,0.36849419558425545
302,BFS,0.36849419558425545
332,BFS,0.36849419558425545
344,BFS,0.36849419558425545
346,BFS,0.36849419558425545
389,BFS,0.36849419558425545
427,BFS,0.36849419558425545
435,BFS,0.36849419558425545
443,BFS,0.36849419558425545
453,BFS,0.36849419558425545
454,BFS,0.36849419558425545
475,BFS,0.36849419558425545
483,BFS,0.36849419558425545
489,BFS,0.36849419558425545
510,BFS,0.36849419558425545
522,BFS,0.36849419558425545
569,BFS,0.36849419558425545
589,BFS,0.36849419558425545
626,BFS,0.36849419558425545
649,BFS,0.36849419558425545
666,BFS,0.36849419558425545
673,BFS,0.36849419558425545
676,BFS,0.36849419558425545
691,BFS,0.36849419558425545
713,BFS,0.36849419558425545
724,BFS,0.36849419558425545
732,BFS,0.36849419558425545
745,BFS,0.36849419558425545
748,BFS,0.36849419558425545
758,BFS,0.36849419558425545
788,BFS,0.36849419558425545
792,BFS,0.36849419558425545
825,BFS,0.36849419558425545
835,BFS,0.36849419558425545
843,BFS,0.36849419558425545
861,BFS,0.36849419558425545
889,BFS,0.36849419558425545
918,BFS,0.36849419558425545
923,BFS,0.36849419558425545
930,BFS,0.36849419558425545
945,BFS,0.36849419558425545
963,BFS,0.36849419558425545
971,BFS,0.36849419558425545
998,BFS,0.36849419558425545
29,BFS,0.36849419558425545
40,BFS,0.36849419558425545
62,BFS,0.36849419558425545
69,BFS,0.36849419558425545
77,BFS,0.36849419558425545
88,BFS,0.36849419558425545
101,BFS,0.36849419558425545
156,BFS,0.36849419558425545
159,BFS,0.36849419558425545
168,BFS,0.36849419558425545
228,BFS,0.36849419558425545
242,BFS,0.36849419558425545
265,BFS,0.36849419558425545
280,BFS,0.36849419558425545
290,BFS,0.36849419558425545
297,BFS,0.36849419558425545
312,BFS,0.36849419558425545
316,BFS,0.36849419558425545
320,BFS,0.36849419558425545
323,BFS,0.36849419558425545
379,BFS,0.36849419558425545
420,BFS,0.36849419558425545
436,BFS,0.36849419558425545
507,BFS,0.36849419558425545
509,BFS,0.36849419558425545
525,BFS,0.36849419558425545
530,BFS,0.36849419558425545
582,BFS,0.36849419558425545
588,BFS,0.36849419558425545
604,BFS,0.36849419558425545
619,BFS,0.36849419558425545
623,BFS,0.36849419558425545
628,BFS,0.36849419558425545
667,BFS,0.36849419558425545
670,BFS,0.36849419558425545
751,BFS,0.36849419558425545
755,BFS,0.36849419558425545
757,BFS,0.36849419558425545
769,BFS,0.36849419558425545
793,BFS,0.36849419558425545
801,BFS,0.36849419558425545
